particle_type,momentum,photon_hits,is_pi,is_K,is_electron,is_muon,is_proton
pi,31.695369996455,12,1.0,0.0,0.0,0.0,0.0
pi,31.511495332191704,13,1.0,0.0,0.0,0.0,0.0
pi,6.610390823473627,10,1.0,0.0,0.0,0.0,0.0
pi,79.1829931159408,13,1.0,0.0,0.0,0.0,0.0
pi,41.81802090736907,8,1.0,0.0,0.0,0.0,0.0
pi,54.330895051326,20,1.0,0.0,0.0,0.0,0.0
pi,65.14159722994157,19,1.0,0.0,0.0,0.0,0.0
pi,71.08050082043322,14,1.0,0.0,0.0,0.0,0.0
pi,43.10881044150837,6,1.0,0.0,0.0,0.0,0.0
pi,28.631974243196325,19,1.0,0.0,0.0,0.0,0.0
pi,29.187177238003432,16,1.0,0.0,0.0,0.0,0.0
pi,41.07829640364955,17,1.0,0.0,0.0,0.0,0.0
pi,56.56465531518649,19,1.0,0.0,0.0,0.0,0.0
pi,75.41292812183669,10,1.0,0.0,0.0,0.0,0.0
pi,99.53763943510762,10,1.0,0.0,0.0,0.0,0.0
pi,0.8114220677901822,0,1.0,0.0,0.0,0.0,0.0
pi,95.45048298845256,11,1.0,0.0,0.0,0.0,0.0
pi,61.87362014630533,17,1.0,0.0,0.0,0.0,0.0
pi,53.84324166927376,23,1.0,0.0,0.0,0.0,0.0
pi,67.31510855889377,21,1.0,0.0,0.0,0.0,0.0
pi,74.26797042368882,18,1.0,0.0,0.0,0.0,0.0
pi,61.296974654843225,21,1.0,0.0,0.0,0.0,0.0
pi,1.8486982075143903,0,1.0,0.0,0.0,0.0,0.0
pi,3.6477829341950994,0,1.0,0.0,0.0,0.0,0.0
pi,44.50256213191806,5,1.0,0.0,0.0,0.0,0.0
pi,60.417483798005996,14,1.0,0.0,0.0,0.0,0.0
pi,42.566097086564234,16,1.0,0.0,0.0,0.0,0.0
pi,21.198314543066267,20,1.0,0.0,0.0,0.0,0.0
pi,5.870261703134967,7,1.0,0.0,0.0,0.0,0.0
pi,4.2019996439491125,0,1.0,0.0,0.0,0.0,0.0
pi,80.57523426726897,13,1.0,0.0,0.0,0.0,0.0
pi,24.27061287244775,17,1.0,0.0,0.0,0.0,0.0
pi,22.55966262399095,19,1.0,0.0,0.0,0.0,0.0
pi,22.8879279262317,7,1.0,0.0,0.0,0.0,0.0
pi,37.83001239707139,23,1.0,0.0,0.0,0.0,0.0
pi,40.10603441955865,16,1.0,0.0,0.0,0.0,0.0
pi,43.412704551125216,16,1.0,0.0,0.0,0.0,0.0
pi,86.66745491345606,22,1.0,0.0,0.0,0.0,0.0
pi,29.458168591576893,8,1.0,0.0,0.0,0.0,0.0
pi,13.061219489956923,12,1.0,0.0,0.0,0.0,0.0
pi,63.37242329938622,10,1.0,0.0,0.0,0.0,0.0
pi,20.706531855384906,14,1.0,0.0,0.0,0.0,0.0
pi,76.41100341772128,19,1.0,0.0,0.0,0.0,0.0
pi,47.66520207393618,19,1.0,0.0,0.0,0.0,0.0
pi,14.879982652914782,11,1.0,0.0,0.0,0.0,0.0
pi,81.21800422463016,11,1.0,0.0,0.0,0.0,0.0
pi,91.62017899302747,21,1.0,0.0,0.0,0.0,0.0
pi,99.16287170182751,16,1.0,0.0,0.0,0.0,0.0
pi,69.2586122338562,19,1.0,0.0,0.0,0.0,0.0
pi,86.39129287427942,13,1.0,0.0,0.0,0.0,0.0
pi,64.8102856638654,16,1.0,0.0,0.0,0.0,0.0
pi,30.05083555836748,15,1.0,0.0,0.0,0.0,0.0
pi,1.2372472886462504,0,1.0,0.0,0.0,0.0,0.0
pi,46.60215385969977,16,1.0,0.0,0.0,0.0,0.0
pi,81.3857186417751,15,1.0,0.0,0.0,0.0,0.0
pi,76.71920985313905,17,1.0,0.0,0.0,0.0,0.0
pi,46.05251983649108,13,1.0,0.0,0.0,0.0,0.0
pi,26.346325334405247,20,1.0,0.0,0.0,0.0,0.0
pi,21.866483054009866,18,1.0,0.0,0.0,0.0,0.0
pi,2.679437842960757,0,1.0,0.0,0.0,0.0,0.0
pi,89.3096256120408,19,1.0,0.0,0.0,0.0,0.0
pi,50.51520909501606,7,1.0,0.0,0.0,0.0,0.0
pi,99.10762562730831,21,1.0,0.0,0.0,0.0,0.0
pi,59.8884042244209,19,1.0,0.0,0.0,0.0,0.0
pi,58.149156126825694,16,1.0,0.0,0.0,0.0,0.0
pi,71.91138896493763,10,1.0,0.0,0.0,0.0,0.0
pi,85.23957506409707,10,1.0,0.0,0.0,0.0,0.0
pi,30.857095519495,16,1.0,0.0,0.0,0.0,0.0
pi,85.98284808239762,23,1.0,0.0,0.0,0.0,0.0
pi,33.50611658520459,20,1.0,0.0,0.0,0.0,0.0
pi,29.771091524910176,14,1.0,0.0,0.0,0.0,0.0
pi,26.513366207958722,15,1.0,0.0,0.0,0.0,0.0
pi,9.799624244349518,11,1.0,0.0,0.0,0.0,0.0
pi,54.38126686939117,21,1.0,0.0,0.0,0.0,0.0
pi,19.584770583958253,21,1.0,0.0,0.0,0.0,0.0
pi,57.129127771760004,10,1.0,0.0,0.0,0.0,0.0
pi,81.74510952006483,17,1.0,0.0,0.0,0.0,0.0
pi,47.92179453609217,20,1.0,0.0,0.0,0.0,0.0
pi,24.231400782790452,20,1.0,0.0,0.0,0.0,0.0
pi,39.38707726324585,12,1.0,0.0,0.0,0.0,0.0
pi,54.56849541802492,11,1.0,0.0,0.0,0.0,0.0
pi,38.80243478313036,14,1.0,0.0,0.0,0.0,0.0
pi,74.03603400816718,15,1.0,0.0,0.0,0.0,0.0
pi,92.98011297149674,17,1.0,0.0,0.0,0.0,0.0
pi,54.26227925217,15,1.0,0.0,0.0,0.0,0.0
pi,37.546674621778834,17,1.0,0.0,0.0,0.0,0.0
pi,9.168267154400244,11,1.0,0.0,0.0,0.0,0.0
pi,55.76873528727346,21,1.0,0.0,0.0,0.0,0.0
pi,29.776785975121758,12,1.0,0.0,0.0,0.0,0.0
pi,1.437243115592712,0,1.0,0.0,0.0,0.0,0.0
pi,44.04988816969348,12,1.0,0.0,0.0,0.0,0.0
pi,61.17570114362288,20,1.0,0.0,0.0,0.0,0.0
pi,63.36289166545203,14,1.0,0.0,0.0,0.0,0.0
pi,64.21986726641528,14,1.0,0.0,0.0,0.0,0.0
pi,60.9303125580953,14,1.0,0.0,0.0,0.0,0.0
pi,45.173205248770586,11,1.0,0.0,0.0,0.0,0.0
pi,12.29192989156378,19,1.0,0.0,0.0,0.0,0.0
pi,78.30134166356264,16,1.0,0.0,0.0,0.0,0.0
